,image_file,seen_data_numeric,size_used,closing_ssd,closing_eng,otsu_ssd,otsu_eng,gaus_ssd,gaus_eng,thresh_eng,thresh_ssd
0,['.\\sipaimages\\5\\22.jpg'],-20.07,59,,,11,,,,,11.0
0,['.\\sipaimages\\5\\23.jpg'],8.3,59,111444,,16,,24,,,12.0
0,['.\\sipaimages\\5\\24.jpg'],179.32,59,,,,,,,,10.0
0,['.\\sipaimages\\5\\25.jpg'],179.32,59,,,,,1074,,,
0,['.\\sipaimages\\5\\26.jpg'],179.26,59,,,,,,,,1.0
0,['.\\sipaimages\\5\\27.jpg'],179.26,59,191,,10,,7002,,,1.0
0,['.\\sipaimages\\5\\3.jpg'],10.63,59,,,,,77,,,70.0
0,['.\\sipaimages\\5\\4.jpg'],10.63,59,,,,,,,,
0,['.\\sipaimages\\5\\5.jpg'],10.63,59,4,,111,,,,,31.0
0,['.\\sipaimages\\5\\6.jpg'],10.63,59,1,,1,,3124,,,1.0
0,['.\\sipaimages\\5\\7.jpg'],9.3,59,1,,11,,,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,59,,,,,,,,0.0
0,['.\\sipaimages\\5\\9.jpg'],6.85,59,,,,,1,,,
0,['.\\sipaimages\\5\\1.jpg'],-7.94,60,1,,1,,,,,11.0
0,['.\\sipaimages\\5\\10.jpg'],10.51,60,1414.0,,24,,77161,['.'],,444.0
0,['.\\sipaimages\\5\\11.jpg'],10.51,60,0.00111,1,77712077,,770611881,5,,11.0
0,['.\\sipaimages\\5\\12.jpg'],10.51,60,771,,,,777702.1,,5,71.0
0,['.\\sipaimages\\5\\13.jpg'],10.46,60,,,,,555551161,,41,11.0
0,['.\\sipaimages\\5\\14.jpg'],10.46,60,7,['.'],11,,1609,1,,71.0
0,['.\\sipaimages\\5\\15.jpg'],10.69,60,27,,7,,,,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,60,127,1,,,,,,1.1
0,['.\\sipaimages\\5\\17.jpg'],10.23,60,177,1,147,,,,,1.0
0,['.\\sipaimages\\5\\18.jpg'],-19.53,60,231,['.'],1,,,,,1.0
0,['.\\sipaimages\\5\\19.jpg'],-18.24,60,,,1,1,71412711,1,1,11411.0
0,['.\\sipaimages\\5\\2.jpg'],-7.94,60,11,,11,,8,,,11.0
0,['.\\sipaimages\\5\\20.jpg'],-20.22,60,111,,1.11,,91177.0,21,,11.0
0,['.\\sipaimages\\5\\21.jpg'],-18.43,60,,,1,,911,,,4.0
0,['.\\sipaimages\\5\\22.jpg'],-20.07,60,,,11,,,,,11.0
0,['.\\sipaimages\\5\\23.jpg'],8.3,60,1,,16,,771241,1,,['1..']
0,['.\\sipaimages\\5\\24.jpg'],179.32,60,,,,,1112,185,,10
0,['.\\sipaimages\\5\\25.jpg'],179.32,60,,,,,51,7,,
0,['.\\sipaimages\\5\\26.jpg'],179.26,60,,,,,7110817,7,,0
0,['.\\sipaimages\\5\\27.jpg'],179.26,60,194,,11,,285,,['.'],1
0,['.\\sipaimages\\5\\3.jpg'],10.63,60,,,,,0,,,7
0,['.\\sipaimages\\5\\4.jpg'],10.63,60,,,,,,,,
0,['.\\sipaimages\\5\\5.jpg'],10.63,60,1,,81,,31,,,81
0,['.\\sipaimages\\5\\6.jpg'],10.63,60,1,,1,,36111,,,1
0,['.\\sipaimages\\5\\7.jpg'],9.3,60,3,1,11,,,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,60,,,,,,,,12744
0,['.\\sipaimages\\5\\9.jpg'],6.85,60,,,,,7,,,
0,['.\\sipaimages\\5\\1.jpg'],-7.94,61,1,,11,,21,,,11
0,['.\\sipaimages\\5\\10.jpg'],10.51,61,477,,72,,['14.3.61'],48,,754
0,['.\\sipaimages\\5\\11.jpg'],10.51,61,41114.0,1,7777077,,5547021,['.'],,75411
0,['.\\sipaimages\\5\\12.jpg'],10.51,61,777,,,,770109.1,,,77
0,['.\\sipaimages\\5\\13.jpg'],10.46,61,,,,,1211,,['..'],11
0,['.\\sipaimages\\5\\14.jpg'],10.46,61,7,,1,,811111,,,77
0,['.\\sipaimages\\5\\15.jpg'],10.69,61,27,7,,,,,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,61,27,1,,,51181,,,1.1
0,['.\\sipaimages\\5\\17.jpg'],10.23,61,177,1,141,,1811124,,,1
0,['.\\sipaimages\\5\\18.jpg'],-19.53,61,4781,,1,,1.3,,,1
0,['.\\sipaimages\\5\\19.jpg'],-18.24,61,,,31,,91,,,11411
0,['.\\sipaimages\\5\\2.jpg'],-7.94,61,101,,11,,2.27,,,11
0,['.\\sipaimages\\5\\20.jpg'],-20.22,61,111,,111,,,,,0
0,['.\\sipaimages\\5\\21.jpg'],-18.43,61,,,1,,,,,417741
